Pregunta,Respuesta
"¿Qué es el sistema de subsidios en salud?", "Es un mecanismo que ayuda a cubrir los costos de atención médica para personas de bajos ingresos."
"¿Qué es la medicina laboral?", "Es la especialidad médica que se ocupa de la salud de los trabajadores y la prevención de enfermedades laborales."
"¿Qué es la afiliación voluntaria a la seguridad social?", "Es una opción que tienen las personas para cotizar y acceder a beneficios sin tener un empleador."
"¿Qué son los planes de pensiones complementarias?", "Son ahorro adicional que complementa la pensión obligatoria."
"¿Qué es un contrato de aprendizaje?", "Es un contrato para jóvenes que combina formación académica y experiencia laboral."
"¿Qué es el régimen de prima media?", "Es un sistema de pensiones donde se financian las pensiones actuales con las cotizaciones de los trabajadores activos."
"¿Qué es el régimen de ahorro individual?", "Es un sistema donde cada afiliado ahorra para su propia pensión."
"¿Qué es el riesgo de trabajo?", "Es el riesgo que tiene un trabajador de sufrir un accidente o enfermedad en el trabajo."
"¿Qué es el servicio de urgencias en salud?", "Es la atención médica inmediata para situaciones críticas o de emergencia."
"¿Qué cubre el programa de salud pública?", "Cubre prevención, promoción y atención de enfermedades en la población."
"¿Qué es un trabajador eventual?", "Es un trabajador que realiza labores temporales sin un contrato fijo."
"¿Qué es la formación profesional?", "Es un proceso educativo que prepara a los individuos para el trabajo en un campo específico."
"¿Qué derechos tienen los aprendices?", "Los aprendices tienen derecho a recibir formación adecuada y a ser remunerados durante su práctica."
"¿Qué son los auxilios de maternidad?", "Son beneficios económicos que se otorgan a las mujeres durante el periodo de maternidad."
"¿Qué es la salud ocupacional?", "Es la disciplina que se ocupa de la prevención y protección de la salud de los trabajadores en sus puestos de trabajo."
"¿Qué es el programa de atención al trabajador?", "Es un conjunto de servicios destinados a proteger y mejorar la calidad de vida laboral."
"¿Qué es el contrato de prestación de servicios?", "Es un acuerdo donde una persona presta un servicio a otra sin ser considerado trabajador dependiente."
"¿Qué es la atención primaria en salud?", "Es el primer nivel de atención que brinda servicios de salud a la población."
"¿Qué derechos tienen los pensionados?", "Los pensionados tienen derecho a recibir su pensión y a atención médica."
"¿Qué es el sistema de información de la seguridad social?", "Es una plataforma que permite gestionar y consultar la información relacionada con la seguridad social."
"¿Qué son las enfermedades laborales?", "Son enfermedades que se producen como resultado de las condiciones de trabajo."
"¿Qué es la prevención de riesgos laborales?", "Es el conjunto de acciones destinadas a evitar accidentes y enfermedades en el trabajo."
"¿Qué es el subsidio de desempleo?", "Es una ayuda económica que se otorga a las personas que han perdido su empleo."
"¿Qué es la responsabilidad del empleador en la salud laboral?", "Es la obligación de garantizar condiciones seguras y saludables para los trabajadores."
"¿Qué son los comités de salud y seguridad en el trabajo?", "Son grupos de trabajo que promueven la salud y seguridad laboral."
"¿Qué es el régimen de salud en Colombia?", "Es el conjunto de normas y entidades que regulan la atención de salud en el país."
"¿Qué es el horario de trabajo?", "Es el tiempo durante el cual un trabajador debe desempeñar sus funciones."
"¿Qué es un accidente de trabajo?", "Es un evento inesperado que causa lesión o enfermedad en el trabajador durante su labor."
"¿Qué son las incapacidades laborales?", "Son períodos en los que un trabajador no puede desempeñar su trabajo debido a enfermedad o accidente."
"¿Qué es el subsidio por maternidad?", "Es una prestación económica que se otorga a las mujeres durante el período de licencia de maternidad."
"¿Qué es el sistema de evaluación de riesgos laborales?", "Es el proceso de identificar y analizar los riesgos presentes en un entorno laboral."
"¿Qué es el bienestar laboral?", "Es el conjunto de condiciones que favorecen la calidad de vida de los trabajadores en su entorno laboral."
"¿Qué son los fondos de garantía de pensiones?", "Son mecanismos que garantizan el pago de pensiones en caso de quiebra de la entidad."
"¿Qué es el pago de salarios?", "Es la compensación económica que recibe un trabajador por su labor."
"¿Qué es la jornada laboral?", "Es el tiempo total que un trabajador debe cumplir en su trabajo, según lo establecido por la ley."
"¿Qué son los servicios de salud ocupacional?", "Son servicios destinados a proteger y promover la salud de los trabajadores en su entorno laboral."
"¿Qué son las prestaciones sociales?", "Son beneficios adicionales que se otorgan a los trabajadores, como vacaciones y primas."
"¿Qué es el contrato a término fijo?", "Es un contrato laboral que tiene una duración determinada desde su inicio."
"¿Qué es el seguro de salud?", "Es una protección financiera que cubre los gastos de atención médica."
"¿Qué es el sistema de pensiones?", "Es el conjunto de normas y entidades que regulan la jubilación de los trabajadores."
"¿Qué es el bienestar social?", "Es el conjunto de acciones que buscan mejorar la calidad de vida de la población."
"¿Qué es el reconocimiento de incapacidades?", "Es el proceso por el cual se determina la validez de una incapacidad para recibir prestaciones."
"¿Qué es la responsabilidad social empresarial?", "Es el compromiso de las empresas de contribuir al desarrollo social y ambiental."
"¿Qué es la evaluación de desempeño laboral?", "Es el proceso de medir el rendimiento de un trabajador en sus funciones."
"¿Qué es la reactivación económica?", "Es el proceso de impulsar la economía tras una crisis o periodo de recesión."
"¿Qué son las indemnizaciones laborales?", "Son compensaciones que se otorgan a un trabajador al finalizar una relación laboral."
"¿Qué es el sistema de educación para el trabajo?", "Es el conjunto de programas y estrategias que buscan preparar a los jóvenes para el mundo laboral."
"¿Qué es la capacitación laboral?", "Es el proceso de formación que mejora las habilidades y competencias de los trabajadores."
"¿Qué es la promoción de la salud?", "Es el conjunto de acciones destinadas a fomentar hábitos saludables entre la población."
"¿Qué son las condiciones mínimas de trabajo?", "Son los requisitos básicos que deben cumplirse para garantizar un ambiente laboral adecuado."
"¿Qué es el pago de aportes a la seguridad social?", "El pago de aportes a la seguridad social es el dinero que tanto empleadores como empleados deben aportar a los sistemas de salud, pensiones y riesgos laborales."
"¿Qué cubre el seguro de riesgos laborales?", "El seguro de riesgos laborales cubre accidentes o enfermedades que ocurren en el trabajo, protegiendo al empleado."
"¿Qué es el auxilio por incapacidad?", "Es un beneficio económico que reciben los trabajadores cuando se encuentran incapacitados para trabajar debido a una enfermedad o accidente."
"¿Qué es el derecho a la salud?", "El derecho a la salud es el derecho de todos los ciudadanos a acceder a servicios médicos adecuados y oportunos, garantizados por el Estado."
"¿Qué es la cotización en salud?", "La cotización en salud es el porcentaje de los ingresos de los trabajadores que se destinan al sistema de salud pública."
"¿Qué es el bono pensional?", "El bono pensional es el reconocimiento que se otorga a las personas que no tuvieron acceso al sistema de pensiones antes de una reforma."
"¿Qué es la licencia de paternidad?", "Es un derecho que permite a los hombres ausentarse de su trabajo para atender a su hijo recién nacido."
"¿Qué son las cotizaciones a pensión?", "Son los aportes que realizan los trabajadores y sus empleadores al sistema de pensiones para garantizar una jubilación en el futuro."
"¿Qué es la pensión de vejez?", "Es el derecho que adquiere un trabajador al cumplir con los requisitos establecidos para la jubilación y recibir un pago periódico."
"¿Qué es el sistema de salud en Colombia?", "Es un sistema público y privado que proporciona atención médica a los colombianos, regulado por el gobierno."
"¿Qué es la ARL y qué servicios ofrece?", "La ARL (Administradora de Riesgos Laborales) ofrece servicios de prevención, atención y compensación a los trabajadores en caso de accidentes laborales."
"¿Qué es la protección social?", "La protección social es el conjunto de políticas y programas que buscan garantizar el bienestar y la calidad de vida de la población."
"¿Qué cubren las cesantías?", "Las cesantías cubren una parte del salario del trabajador y se entregan al finalizar el contrato laboral para ser usadas en situaciones de desempleo o vivienda."
"¿Qué es el derecho a la seguridad social?", "El derecho a la seguridad social es el derecho de los trabajadores y ciudadanos a estar cubiertos por los sistemas de salud, pensiones y riesgos laborales."
"¿Cómo afecta el despido sin justa causa a los derechos laborales?", "El despido sin justa causa otorga al trabajador el derecho a una indemnización y a la liquidación de sus prestaciones sociales."
"¿Qué es el seguro de accidentes laborales?", "Es un seguro que cubre a los trabajadores frente a accidentes ocurridos durante el desempeño de su labor."
"¿Qué es la pensión por invalidez?", "Es una pensión que se otorga a los trabajadores que quedan incapacitados de manera permanente para realizar su trabajo debido a una enfermedad o accidente."
"¿Qué es la jornada laboral?", "La jornada laboral es el tiempo establecido por la ley que un trabajador debe dedicar a su actividad laboral."
"¿Qué es un contrato indefinido?", "Es un contrato laboral en el que no se establece una fecha de finalización, ofreciendo estabilidad laboral al trabajador."
"¿Qué es la licencia por enfermedad?", "Es un permiso que el trabajador puede tomar cuando está enfermo y no puede desempeñar sus labores."
"¿Qué es la protección frente al desempleo?", "Es el conjunto de políticas y beneficios que ayudan a los trabajadores a mantenerse económicamente mientras buscan un nuevo empleo."
"¿Qué es el sistema general de pensiones?", "Es el conjunto de leyes y normas que regulan las pensiones en Colombia, permitiendo que los trabajadores reciban un pago tras su jubilación."
"¿Qué es el derecho a la maternidad?", "Es el derecho que tienen las mujeres a ausentarse del trabajo antes y después del parto, con la garantía de recibir su salario."
"¿Cómo se calculan las pensiones?", "Las pensiones se calculan en base a los años de cotización, el salario promedio y las contribuciones al sistema de pensiones."
"¿Qué es el seguro de vida?", "Es un seguro que protege al trabajador o a sus familiares en caso de fallecimiento."
"¿Qué es el tiempo de cotización?", "Es el tiempo durante el cual un trabajador ha estado haciendo aportes al sistema de seguridad social para tener derecho a pensión."
"¿Qué es el fondo de cesantías?", "Es un fondo donde se acumulan las cesantías de los trabajadores para ser utilizadas en situaciones específicas como desempleo o vivienda."
"¿Qué es la contratación laboral?", "Es el proceso mediante el cual un empleador establece una relación formal con un trabajador bajo condiciones contractuales."
"¿Qué es un contrato de trabajo a término indefinido?", "Es un contrato que no tiene una fecha de finalización predeterminada y puede ser terminado solo por las causas establecidas por la ley."
"¿Qué son las pensiones no contributivas?", "Son pensiones otorgadas a personas que no han cotizado lo suficiente al sistema de pensiones, pero que cumplen con otros requisitos."
"¿Qué es el derecho a una pensión?", "Es el derecho que tienen los trabajadores de recibir una prestación económica cuando llegan a la edad de jubilación o debido a una incapacidad."
"¿Qué es el subsidio de transporte?", "Es una ayuda económica que se otorga a los trabajadores para cubrir sus gastos de transporte hacia su lugar de trabajo."
"¿Qué es la afiliación a la seguridad social?", "La afiliación a la seguridad social es el proceso mediante el cual un trabajador se inscribe en el sistema de salud, pensiones y riesgos laborales."
"¿Qué es el régimen contributivo?", "El régimen contributivo es el sistema de afiliación en el que los trabajadores y sus empleadores realizan aportes a la seguridad social."
"¿Qué es la ley de seguridad social?", "Es el conjunto de leyes que regulan el acceso a la salud, pensiones y riesgos laborales en un país."
"¿Qué es el seguro de salud?", "El seguro de salud es un mecanismo que cubre los gastos médicos, garantizando el acceso a servicios de salud."
"¿Qué es un trabajador formal?", "Un trabajador formal es aquel que tiene un contrato legal, recibe salario y cotiza a la seguridad social."
"¿Qué es el salario mínimo?", "El salario mínimo es el monto más bajo que un trabajador puede recibir por su trabajo, establecido por el gobierno."
"¿Qué es el régimen subsidiado?", "El régimen subsidiado es el sistema de salud que cubre a las personas en situación de vulnerabilidad que no tienen capacidad de pago."
"¿Cómo acceder a la pensión de vejez?", "Para acceder a la pensión de vejez, el trabajador debe cumplir con los requisitos de edad y tiempo de cotización establecidos por el sistema."
"¿Qué es el seguro de invalidez?", "El seguro de invalidez es un tipo de seguro que cubre a los trabajadores que quedan incapacitados permanentemente para realizar su trabajo."
"¿Qué son las prestaciones por maternidad?", "Son beneficios económicos que se otorgan a las mujeres durante el periodo de licencia por maternidad."
"¿Qué es el Sisbén?", "El Sisbén es un sistema de clasificación que asigna a las personas según su situación socioeconómica y define su acceso a servicios sociales."
"¿Qué es la cotización a riesgos laborales?", "Es el aporte que realizan los empleadores para garantizar la cobertura de accidentes laborales y enfermedades relacionadas con el trabajo."
"¿Qué es la prima de navidad?", "Es un beneficio económico que se paga a los trabajadores en diciembre, equivalente a un salario mensual."
"¿Qué es el sistema de pensiones privadas?", "Es un sistema de ahorro para la jubilación en el que los trabajadores pueden hacer aportes voluntarios a una entidad privada."
"¿Qué cubre el seguro de riesgos laborales?", "Cubre los accidentes y enfermedades que ocurren durante el desempeño de actividades laborales, garantizando atención médica y compensación."
"¿Qué es el plan de salud?", "Es el tipo de cobertura que una persona tiene en un sistema de salud, que puede ser pública o privada."
"¿Cómo se paga la pensión?", "La pensión se paga periódicamente a través de una entidad encargada de administrar los fondos de pensiones, generalmente mensual."
"¿Qué es el régimen de salud pública?", "Es el sistema que proporciona atención médica a la población en general, sin distinción entre clases sociales."
"¿Qué es la cobertura de salud?", "Es el alcance de los servicios médicos que una persona puede recibir, dependiendo de su afiliación al sistema de salud."
"¿Qué es el auxilio por maternidad?", "Es una ayuda económica que se otorga a las trabajadoras durante el período de descanso por maternidad."
"¿Qué derechos tienen los trabajadores con contrato indefinido?", "Los trabajadores con contrato indefinido tienen derecho a estabilidad laboral, prestaciones sociales y acceso a beneficios laborales."
"¿Qué es la indemnización por despido?", "Es la compensación económica que se otorga a un trabajador cuando es despedido sin una justificación legal."
"¿Qué es el sistema de salud universal?", "Es un sistema que busca garantizar que todos los ciudadanos tengan acceso a servicios de salud, independientemente de su capacidad económica."
"¿Qué son las cuentas de ahorro pensional?", "Son cuentas individuales donde los trabajadores depositan sus aportes para la acumulación de fondos para su jubilación."
"¿Qué es la atención preventiva en salud?", "Es un conjunto de acciones y servicios destinados a evitar enfermedades y promover la salud entre la población."
"¿Qué es la clasificación del Sisbén?", "La clasificación del Sisbén es un proceso mediante el cual se asigna a las personas una categoría que determina su acceso a servicios públicos y programas sociales."
"¿Qué es la pensión por sobrevivencia?", "Es una pensión que se otorga a los beneficiarios de una persona que ha fallecido y que tenía cotizaciones al sistema de pensiones."
"¿Qué es la solicitud de pensión?", "Es el proceso mediante el cual un trabajador solicita el reconocimiento de su pensión al cumplir con los requisitos legales."
"¿Qué es el régimen de ahorro individual?", "Es un sistema de pensiones en el que los aportes que realiza cada trabajador son acumulados en su cuenta personal para financiar su pensión."
"¿Qué son los trabajadores informales?", "Son aquellos que no tienen un contrato de trabajo formal y no están afiliados al sistema de seguridad social."
"¿Qué es la autorización de incapacidad?", "Es el permiso otorgado por un médico para que un trabajador se ausente de su puesto de trabajo debido a una enfermedad o accidente."


