Pregunta,Tipo
"¿Qué es la responsabilidad social empresarial?", "consulta"
"¿Qué es la evaluación de desempeño laboral?", "consulta"
"¿Qué es la reactivación económica?", "consulta"
"¿Qué son las indemnizaciones laborales?", "consulta"
"¿Qué es el sistema de educación para el trabajo?", "consulta"
"¿Qué es la capacitación laboral?", "consulta"
"¿Qué es la promoción de la salud?", "consulta"
"¿Qué son las condiciones mínimas de trabajo?", "consulta"
"El tipo de cotizante 1 puede tener la novedad ING?", "novedad"
"El tipo de cotizante 1 puede tener la novedad RET?", "novedad"
"El tipo de cotizante 2 puede tener la novedad SLN X?", "novedad"
"El tipo de cotizante 2 puede tener la novedad SLN C?", "novedad"
"El tipo de cotizante 3 puede tener la novedad IGE?", "novedad"
"El tipo de cotizante 3 puede tener la novedad LMA?", "novedad"
"El tipo de cotizante 4 puede tener la novedad VAC?", "novedad"
"El tipo de cotizante 12 puede tener la novedad TAE?", "novedad"
"El tipo de cotizante 12 puede tener la novedad VSP?", "novedad"
"El tipo de cotizante 16 puede tener la novedad VST?", "novedad"
"El tipo de cotizante 18 puede tener la novedad IRL?", "novedad"
"El tipo de cotizante 19 puede tener la novedad AVP?", "novedad"
"El tipo de cotizante 19 puede tener la novedad VCT?", "novedad"
"El tipo de cotizante 20 puede tener la novedad TDE?", "novedad"
"El tipo de cotizante 21 puede tener la novedad TAP?", "novedad"
"El tipo de cotizante 22 puede tener la novedad TDP?", "novedad"
"El tipo de cotizante 22 puede tener la novedad ING?", "novedad"
"El tipo de cotizante 23 puede tener la novedad RET?", "novedad"
"El tipo de cotizante 30 puede tener la novedad SLN X?", "novedad"
"El tipo de cotizante 33 puede tener la novedad SLN C?", "novedad"
"El tipo de cotizante 33 puede tener la novedad IGE?", "novedad"
"El tipo de cotizante 34 puede tener la novedad LMA?", "novedad"
"El tipo de cotizante 35 puede tener la novedad VAC?", "novedad"
"El tipo de cotizante 42 puede tener la novedad TAE?", "novedad"
"El tipo de cotizante 53 puede tener la novedad VSP?", "novedad"
"El tipo de cotizante 56 puede tener la novedad VST?", "novedad"
"El tipo de cotizante 57 puede tener la novedad IRL?", "novedad"
"El tipo de cotizante 60 puede tener la novedad AVP?", "novedad"
"El tipo de cotizante 4 liquida el tipo de planilla H","planilla"
"El tipo de cotizante 5 liquida el tipo de planilla J","planilla"
"El tipo de cotizante 6 liquida el tipo de planilla T","planilla"
"El tipo de cotizante 12 liquida el tipo de planilla F","planilla"
"El tipo de cotizante 16 liquida el tipo de planilla I","planilla"
"El tipo de cotizante 18 liquida el tipo de planilla N","planilla"
"El tipo de cotizante 20 liquida el tipo de planilla M","planilla"
"El tipo de cotizante 22 liquida el tipo de planilla X","planilla"
"El tipo de cotizante 32 liquida el tipo de planilla K","planilla"
"El tipo de cotizante 40 liquida el tipo de planilla U","planilla"
"El tipo de cotizante 43 liquida el tipo de planilla O","planilla"
"El tipo de cotizante 47 liquida el tipo de planilla B","planilla"
"El tipo de cotizante 51 liquida el tipo de planilla D","planilla"
"El tipo de cotizante 54 liquida el tipo de planilla S","planilla"
"El tipo de cotizante 57 liquida el tipo de planilla F","planilla"
"El tipo de cotizante 60 liquida el tipo de planilla E","planilla"
"El tipo de cotizante 63 liquida el tipo de planilla J","planilla"
"El tipo de cotizante 65 liquida el tipo de planilla X","planilla"
"El tipo de cotizante 68 liquida el tipo de planilla A","planilla"
"El tipo de cotizante 69 liquida el tipo de planilla T","planilla"
"El tipo de cotizante 1 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 2 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 2 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 3 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 4 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 12 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 19 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 33 es permitido para el aportante empleador","aportante"
"El tipo de cotizante 33 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 40 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 52 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 57 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 69 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 64 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 19 es permitido para el aportante independiente","aportante"
"El tipo de cotizante 33 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 40 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 52 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 57 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 69 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 64 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 19 es permitido para el aportante entidades y universidades","aportante"
"El tipo de cotizante 1 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 19 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 12 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 52 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 57 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 40 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 33 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 4 es permitido para el aportante cooperativas y precooperativas de trabajo asociado","aportante"
"El tipo de cotizante 1 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 40 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 33 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 60 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 54 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 44 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 43 es permitido para el aportante misiones diplomaticas","aportante"
"El tipo de cotizante 1 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 1 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 1 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 1 es permitido para el subtipo 4","subtipo"
"El tipo de cotizante 2 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 2 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 2 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 2 es permitido para el subtipo 4","subtipo"
"El tipo de cotizante 3 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 3 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 3 es permitido para el subtipo 2","subtipo"
"El tipo de cotizante 3 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 3 es permitido para el subtipo 4","subtipo"
"El tipo de cotizante 4 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 12 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 12 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 16 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 16 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 16 es permitido para el subtipo 2","subtipo"
"El tipo de cotizante 18 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 18 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 18 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 22 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 22 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 22 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 23 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 23 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 30 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 30 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 30 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 30 es permitido para el subtipo 4","subtipo"
"El tipo de cotizante 31 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 31 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 31 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 32 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 32 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 32 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 33 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 33 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 34 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 34 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 34 es permitido para el subtipo 2","subtipo"
"El tipo de cotizante 34 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 40 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 42 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 42 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 43 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 44 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 44 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 44 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 47 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 47 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 51 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 51 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 51 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 52 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 53 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 53 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 54 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 56 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 57 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 57 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 57 es permitido para el subtipo 2","subtipo"
"El tipo de cotizante 57 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 58 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 59 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 59 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 59 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 60 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 60 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 61 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 62 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 62 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 63 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 64 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 65 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 65 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 66 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 66 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 67 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 68 es permitido para el subtipo 0","subtipo"
"El tipo de cotizante 68 es permitido para el subtipo 1","subtipo"
"El tipo de cotizante 68 es permitido para el subtipo 3","subtipo"
"El tipo de cotizante 69 es permitido para el subtipo 0","subtipo"
"!@#$%^&*()","error"
"ab1!$%^&*","error"
"1234abcd!@#","error"
"^&*()@#$","error"
"1234567890","error"
"&&&&&&&&&&","error"
"##%%^^&&**(","error"
"6&*&&^%$#!","error"













